[0mroot [8] g4->ApplyCommand("/control/execute materialScan.mac"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"/control/execute materialScan.mac"[0m[38;5;83m[1m)
[0m/control/execute materialScan.mac
# Include default setup
#/control/execute jleic.mac
#Theta range: bins, start, span
/control/matScan/theta 1 0 0
#Phi range: bins, start, span
#/control/matScan/phi 1000 163 34
/control/matScan/phi 3600 0 360
#Start scan
/control/matScan/scan

         Theta(deg)    Phi(deg)  Length(mm)          x0     lambda0

                  0      18.005        5000   0.0306715   0.0142267
                  0      18.105        5000   0.0309055   0.0143379
                  0     18.2051        5000   0.0304481   0.0141651
                  0     18.3051        5000   0.0309775   0.0144337
                  0     18.4051        5000    0.036245   0.0169523
                  0     18.5051        5000   0.0304292   0.0141556
                  0     18.6052        5000   0.0302703   0.0140797
                  0     18.7052        5000   0.0300164   0.0139587
                  0     18.8052        5000   0.0304842   0.0141523
                  0     18.9053        5000   0.0337694   0.0155627
                  0     19.0053        5000   0.0347568   0.0160301
                  0     19.1053        5000   0.0343255   0.0158342
                  0     19.2053        5000   0.0312762   0.0145501
                  0     19.3054        5000    0.029482    0.013675
                  0     19.4054        5000   0.0270011   0.0124799
                  0     19.5054        5000   0.0306708    0.014278
                  0     19.6054        5000   0.0275998   0.0127981
                  0     19.7055        5000   0.0274537   0.0127199
                  0     19.8055        5000   0.0287634   0.0134174
                  0     19.9055        5000   0.0274776   0.0127319
                  0     20.0056        5000   0.0274803    0.012733
                  0     20.1056        5000   0.0280696   0.0129693
                  0     20.2056        5000    0.031069    0.014411
                  0     20.3056        5000   0.0280756   0.0129717
                  0     20.4057        5000   0.0286686   0.0132096
                  0     20.5057        5000    0.028672   0.0132109
                  0     20.6057        5000   0.0289361   0.0133512
                  0     20.7058        5000   0.0292821   0.0133561
                  0     20.8058        5000   0.0299416    0.013707
                  0     20.9058        5000   0.0287515   0.0131514
                  0     21.0058        5000    0.032308   0.0150333
                  0     21.1059        5000   0.0299694   0.0139057
                  0     21.2059        5000   0.0311124   0.0145167
                  0     21.3059        5000   0.0323067   0.0150415
                  0     21.4059        5000    0.027946   0.0128577
                  0      21.506        5000   0.0285109   0.0130294
                  0      21.606        5000   0.0310593   0.0142626
                  0      21.706        5000   0.0310719   0.0143069
                  0     21.8061        5000   0.0292848   0.0134405
                  0     21.9061        5000   0.0292888   0.0134421
                  0     22.0061        5000    0.032552   0.0150242
                  0     22.1061        5000   0.0305402   0.0140303
                  0     22.2062        5000   0.0305451   0.0140324
                  0     22.3062        5000   0.0307071   0.0140411
                  0     22.4062        5000   0.0301481   0.0138211
                  0     22.5063        5000   0.0316822   0.0143808
                  0     22.6063        5000   0.0342833   0.0156326
                  0     22.7063        5000   0.0333444   0.0152025
                  0     22.8063        5000    0.030191   0.0138441
                  0     22.9064        5000   0.0296975   0.0135807
                  0     23.0064        5000    0.029702   0.0135826
                  0     23.1064        5000   0.0327158   0.0150311
                  0     23.2064        5000   0.0285149   0.0130283
                  0     23.3065        5000   0.0307889   0.0140907
                  0     23.4065        5000   0.0304372   0.0139308
                  0     23.5065        5000   0.0310585   0.0142263
                  0     23.6066        5000   0.0308233   0.0141139
                  0     23.7066        5000   0.0317157   0.0145658
                  0     23.8066        5000   0.0338905   0.0155834
                  0     23.9066        5000   0.0312163   0.0142942
                  0     24.0067        5000   0.0308771   0.0141763
                  0     24.1067        5000   0.0310845   0.0142745
                  0     24.2067        5000   0.0302897   0.0140444
                  0     24.3068        5000    0.034174   0.0157701
                  0     24.4068        5000   0.0315102    0.014488
                  0     24.5068        5000   0.0327868   0.0151627
                  0     24.6068        5000   0.0310986   0.0144414
                  0     24.7069        5000   0.0318079   0.0148162
                  0     24.8069        5000   0.0315791   0.0146922
                  0     24.9069        5000   0.0375573    0.017566
                  0     25.0069        5000   0.0315967   0.0147004
                  0      25.107        5000   0.0317124   0.0147629
                  0      25.207        5000    0.031478   0.0146399
                  0      25.307        5000   0.0326667   0.0151984
                  0     25.4071        5000   0.0313988    0.014606
                  0     25.5071        5000   0.0313041   0.0145607
